alias_id	source_pr	source_identifier	canonical_identifier	relation	controlling_pr	status	notes
ALIAS.T93300.COLLISION	519/523	T/L/R-93300 family	separate Q4-cubic and zero-safe-smoothing namespaces	numeric collision, not theorem identity	528	DELTA_VERIFIED_WITH_FIXES	Do not merge by number alone.
ALIAS.T94200.TRIPLE	535/536/537/541	T/L/R-94200 family	separate annular, endpoint-packing, prime-sieved and normalization-firewall records	four lineages reused a numerical stem	541	DELTA_VERIFIED_WITH_FIXES	Canonical IDs must include family prefix.
ALIAS.T91880.RECOVERY	522/524/529	91880 recovery siblings	live-coupling sibling / native two-sorted candidate records	duplicate/recovery, not proof reinforcement	527	DUPLICATE_RECOVERY	Retain controlling review once.
ALIAS.T97700.COLLISION	589/590/591/593	97700 packet family	LAPBR no-go / Type-II / Lorenz Bellman / threshold-ledger records	numeric collision across mutually different claims	589-593	DELTA_VERIFIED_WITH_FIXES	Use semantic IDs in canonical registry.
ALIAS.T97500.COLLISION	578/581	97500 family	adaptive parity cube / reciprocal renewal records	numeric collision	589/591	DELTA_VERIFIED_WITH_FIXES	No theorem identity implied.
ALIAS.T97200.COLLISION	567/582	97200 family	atomwise parity correction / reciprocal-Julia completion records	numeric collision	571/582	DELTA_VERIFIED_WITH_FIXES	Separate retracted Hall branch from Julia branch.
ALIAS.T96200.RECOVERY	544/549	96200 global-shadow family	normalization hardening / recovery wrapper	recovery and supersession	552	DUPLICATE_RECOVERY	Canonicalize the later review-controlled theorem only.
ALIAS.T96300.SIBLINGS	550/551	96300 family	projective full-row / two-front assault	parallel siblings	561	PARTIALLY_REPRESENTED	Both inherit parity/source gates.
ALIAS.CUTOFF239.RECOVERY	565/588	cutoff-239 proof packet	historical reconstruction record	recovery without original frozen bytes	586	DUPLICATE_RECOVERY	Do not use #588 as independent evidence.
ALIAS.C4MBI.RECOVERY	604/624/630	C4MBI/primitive-prefix family	canonical finite identities plus distinct finite campaigns	genealogical descendants, not duplicate campaigns	624/630	DELTA_VERIFIED_WITH_FIXES	Keep theorem identity and campaign identity separate.
ALIAS.SHARP.1E8	647/653	SHARP H67 10^8 campaigns	two independent computation records	same claimed finite range, distinct provenance	653	RETAINED_HEAVY_CERTIFICATE	Do not collapse hashes or checker paths.
ALIAS.WAVELET.PHASE_HASSE	674/689/692/705	minimal wavelet / phase-Hasse	same-K1 physical realization	valid alias only at fixed K1	705	DELTA_VERIFIED_WITH_FIXES	Cross-K0/K1 alias is false.
ALIAS.HEAT.WEYL_PARITY	613/618	R-98900 and R-98712	one canonical Weyl-parity refutation	duplicate no-go	618	DUPLICATE_RECOVERY	Retain one canonical statement plus aliases.
ALIAS.Q4.R1	523/528	r=1 zero-safe claim	r>=2 theorem plus explicit r=1 failure/correction	superseded parameter edge	528	SUPERSEDED	Do not state all r>=1.
ALIAS.TARGET_LORENZ.CAMPAIGN	497/508/516/550/561	Target–Lorenz event campaigns	reconnaissance / invalid enclosure / replacement / exact parity fixture	method genealogy, not cumulative proof	516/561	CONTROLLED_BY_LATER_REVIEW	Preserve every method status.
